starting_cube,moves,result_cube
U:4 3;4 5| L:2 2;4 2| F:6 1;6 1| R:3 1;6 6| B:2 3;4 5| D:1 5;3 5,B U F1,U:4 1;4 6| L:6 6;4 5| F:5 1;3 6| R:5 2;1 3| B:3 2;5 3| D:1 2;2 4
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U,U:1 2;5 4| L:2 4;5 2| F:3 6;4 3| R:2 6;5 1| B:1 3;5 6| D:3 1;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U1,U:4 5;2 1| L:2 6;5 2| F:1 3;4 3| R:2 4;5 1| B:3 6;5 6| D:3 1;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U2,U:5 1;4 2| L:3 6;5 2| F:2 6;4 3| R:1 3;5 1| B:2 4;5 6| D:3 1;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D,U:2 4;1 5| L:1 3;5 6| F:2 4;5 2| R:3 6;4 3| B:2 6;5 1| D:4 3;6 1
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D1,U:2 4;1 5| L:1 3;4 3| F:2 4;5 1| R:3 6;5 6| B:2 6;5 2| D:1 6;3 4
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D2,U:2 4;1 5| L:1 3;5 1| F:2 4;5 6| R:3 6;5 2| B:2 6;4 3| D:6 4;1 3
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,L,U:6 4;6 5| L:5 1;2 3| F:2 4;1 3| R:3 6;5 1| B:2 4;5 3| D:2 1;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,L1,U:2 4;4 5| L:3 2;1 5| F:3 4;4 3| R:3 6;5 1| B:2 1;5 2| D:6 1;6 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,L2,U:3 4;4 5| L:2 5;3 1| F:6 4;6 3| R:3 6;5 1| B:2 4;5 2| D:2 1;1 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,R,U:2 4;1 3| L:1 3;5 2| F:2 1;4 6| R:5 3;1 6| B:5 6;4 6| D:3 5;4 2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,R1,U:2 5;1 2| L:1 3;5 2| F:2 4;4 5| R:6 1;3 5| B:6 6;1 6| D:3 4;4 3
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,R2,U:2 1;1 6| L:1 3;5 2| F:2 5;4 2| R:1 5;6 3| B:3 6;4 6| D:3 4;4 5
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,F,U:2 4;2 3| L:1 3;5 1| F:4 2;3 4| R:1 6;5 1| B:2 6;5 6| D:5 3;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,F1,U:2 4;3 5| L:1 5;5 1| F:4 3;2 4| R:1 6;3 1| B:2 6;5 6| D:3 2;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,F2,U:2 4;1 3| L:1 5;5 3| F:3 4;4 2| R:2 6;3 1| B:2 6;5 6| D:5 1;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,B,U:6 1;1 5| L:4 3;2 2| F:2 4;4 3| R:3 6;5 4| B:5 2;6 6| D:3 1;1 5
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,B1,U:5 1;1 5| L:4 3;6 2| F:2 4;4 3| R:3 2;5 4| B:6 6;2 5| D:3 1;1 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,B2,U:6 4;1 5| L:1 3;6 2| F:2 4;4 3| R:3 5;5 1| B:6 5;6 2| D:3 1;4 2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,R1 U,U:1 2;2 5| L:2 4;5 2| F:6 1;4 5| R:6 6;3 5| B:1 3;1 6| D:3 4;4 3
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D1 R1,U:2 5;1 2| L:1 3;4 3| F:2 4;5 5| R:6 6;3 5| B:4 6;6 2| D:1 4;3 1
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,F1 R1,U:2 5;3 2| L:1 5;5 1| F:4 4;2 5| R:6 1;1 3| B:6 6;2 6| D:3 3;4 4
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,R B1,U:5 1;1 3| L:4 3;2 2| F:2 1;4 6| R:5 2;1 4| B:6 6;5 4| D:3 5;6 3
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,F1 L1,U:4 4;2 5| L:5 1;1 5| F:3 3;4 4| R:1 6;3 1| B:2 3;5 2| D:6 2;6 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U2 F,U:5 1;2 6| L:3 3;5 1| F:4 2;3 6| R:4 3;2 1| B:2 4;5 6| D:5 1;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D1 L1,U:2 4;5 5| L:3 3;1 4| F:1 4;3 1| R:3 6;5 6| B:2 1;5 2| D:2 6;6 4
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,R2 U1,U:1 6;2 1| L:3 6;5 2| F:1 3;4 2| R:2 5;6 3| B:1 5;4 6| D:3 4;4 5
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U1 R2,U:4 1;2 6| L:2 6;5 2| F:1 5;4 3| R:1 5;4 2| B:3 6;3 6| D:3 5;4 1
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D R1,U:2 5;1 2| L:1 3;5 6| F:2 4;5 5| R:6 3;3 4| B:1 6;3 1| D:4 4;6 2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,R1 U1,U:5 2;2 1| L:6 6;5 2| F:1 3;4 5| R:2 4;3 5| B:6 1;1 6| D:3 4;4 3
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,L D2,U:6 4;6 5| L:5 1;5 1| F:2 4;5 3| R:3 6;2 3| B:2 4;1 3| D:6 4;1 2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,F2 D,U:2 4;1 3| L:1 5;5 6| F:3 4;5 3| R:2 6;4 2| B:2 6;3 1| D:4 5;6 1
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,B L1 B1,U:4 3;4 5| L:2 2;5 2| F:3 4;1 3| R:3 2;5 1| B:1 6;5 6| D:6 1;4 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,L1 U B,U:1 1;5 4| L:2 4;4 5| F:3 6;4 3| R:2 6;5 6| B:5 3;2 2| D:6 1;3 1
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D2 L2 U2,U:5 1;4 6| L:3 6;3 1| F:2 5;6 6| R:1 5;5 2| B:3 4;4 2| D:2 4;1 3
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U L B,U:6 1;3 4| L:2 2;6 4| F:1 6;5 3| R:2 6;5 4| B:5 1;3 4| D:3 1;5 2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,L1 D2 F2,U:2 4;6 6| L:3 1;5 3| F:2 5;4 3| R:1 6;2 5| B:2 1;4 3| D:5 4;1 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,F1 L U2,U:5 6;4 6| L:1 6;1 5| F:2 4;3 4| R:5 1;3 1| B:2 3;5 3| D:4 2;2 6
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,D F L1,U:5 4;2 3| L:4 3;1 5| F:4 2;6 4| R:1 6;5 3| B:2 6;5 2| D:1 3;6 1
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,L B D1,U:6 1;6 5| L:4 1;1 3| F:2 4;5 4| R:3 6;3 4| B:5 2;6 3| D:1 2;2 5
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U,U:5 1;6 2| L:4 2;4 4| F:4 6;5 6| R:1 5;1 1| B:3 6;2 2| D:3 5;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U1,U:2 6;1 5| L:1 5;4 4| F:3 6;5 6| R:4 2;1 1| B:4 6;2 2| D:3 5;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U2,U:6 5;2 1| L:4 6;4 4| F:1 5;5 6| R:3 6;1 1| B:4 2;2 2| D:3 5;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,D,U:1 2;5 6| L:3 6;2 2| F:4 2;4 4| R:4 6;5 6| B:1 5;1 1| D:3 3;3 5
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,D1,U:1 2;5 6| L:3 6;5 6| F:4 2;1 1| R:4 6;2 2| B:1 5;4 4| D:5 3;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,D2,U:1 2;5 6| L:3 6;1 1| F:4 2;2 2| R:4 6;4 4| B:1 5;5 6| D:3 3;5 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,L,U:2 2;5 6| L:4 3;4 6| F:1 2;5 6| R:4 6;1 1| B:1 3;2 3| D:4 5;5 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,L1,U:4 2;5 6| L:6 4;3 4| F:3 2;3 6| R:4 6;1 1| B:1 5;2 1| D:2 5;5 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,L2,U:3 2;3 6| L:4 4;6 3| F:2 2;5 6| R:4 6;1 1| B:1 5;2 4| D:1 5;5 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,R,U:1 2;5 6| L:3 6;4 4| F:4 5;5 3| R:1 4;1 6| B:6 5;2 2| D:3 2;3 1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,R1,U:1 2;5 1| L:3 6;4 4| F:4 2;5 6| R:6 1;4 1| B:3 5;5 2| D:3 2;3 6
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,R2,U:1 5;5 3| L:3 6;4 4| F:4 2;5 1| R:1 1;6 4| B:6 5;2 2| D:3 2;3 6
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,F,U:1 2;4 6| L:3 3;4 5| F:5 4;6 2| R:5 6;6 1| B:1 5;2 2| D:1 4;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,F1,U:1 2;4 1| L:3 6;4 5| F:2 6;4 5| R:5 6;3 1| B:1 5;2 2| D:6 4;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,F2,U:1 2;5 3| L:3 1;4 4| F:6 5;2 4| R:4 6;6 1| B:1 5;2 2| D:6 5;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,B,U:6 1;5 6| L:2 6;1 4| F:4 2;5 6| R:4 3;1 3| B:2 1;2 5| D:3 5;3 4
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,B1,U:4 3;5 6| L:3 6;3 4| F:4 2;5 6| R:4 1;1 2| B:5 2;1 2| D:3 5;1 6
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,B2,U:3 3;5 6| L:1 6;6 4| F:4 2;5 6| R:4 4;1 3| B:2 2;5 1| D:3 5;2 1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,R2 F1,U:1 5;1 6| L:3 3;4 5| F:2 1;4 5| R:2 1;3 4| B:6 5;2 2| D:6 4;3 6
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,D2 L,U:6 2;5 6| L:1 3;1 6| F:1 2;5 2| R:4 6;4 4| B:1 5;5 3| D:4 3;2 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,F1 R1,U:1 2;4 1| L:3 6;4 5| F:2 2;4 1| R:6 1;5 3| B:3 5;4 2| D:6 6;3 5
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,D R1,U:1 1;5 1| L:3 6;2 2| F:4 2;4 6| R:6 6;4 5| B:5 5;3 1| D:3 2;3 4
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,L1 D,U:4 2;5 6| L:6 4;2 1| F:3 2;3 4| R:4 6;3 6| B:1 5;1 1| D:5 2;3 5
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,L B2,U:3 5;5 6| L:1 3;6 6| F:1 2;5 6| R:4 4;1 4| B:3 2;3 1| D:4 5;2 2
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,R B2,U:1 3;5 6| L:6 6;4 4| F:4 5;5 3| R:1 4;1 3| B:2 2;5 6| D:3 2;2 1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,L1 B1,U:3 6;5 6| L:5 4;3 4| F:3 2;3 6| R:4 4;1 2| B:5 1;1 2| D:2 5;1 6
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,D1 L2,U:5 2;3 6| L:6 5;6 3| F:4 2;5 1| R:4 6;2 2| B:1 1;4 4| D:1 3;5 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,B2 U,U:5 3;6 3| L:4 2;6 4| F:4 4;5 6| R:2 2;1 3| B:1 6;5 1| D:3 5;2 1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U1 L2,U:3 6;3 5| L:4 4;5 1| F:2 6;6 6| R:4 2;1 1| B:4 5;2 3| D:2 5;1 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,D2 B2 U1,U:5 6;3 5| L:6 5;6 1| F:4 6;2 2| R:4 2;4 3| B:4 1;5 1| D:3 3;2 1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,R1 F1 R,U:1 6;6 5| L:3 1;4 5| F:2 4;4 6| R:3 2;1 1| B:4 5;2 2| D:6 5;3 3
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U2 L2 F2,U:3 5;5 6| L:4 1;6 3| F:6 2;5 2| R:4 6;4 1| B:4 5;2 1| D:1 3;2 3
